group,summary
Boeing Crisis,Unchecked capitalism at it's worst. Air Canada is the worst. Except that's bollocks.
Brexit,What a terrible argument. Activist judges are the worst
Hong Kong Protests,"""The worst Oscar is de la Hoya."" Both of those people are terrible"
Iran Sanctions,*grabs nearest pupper* Don't!
US China Trade War,I feel like that's not the worst idea anyone's ever had. What a terrible argument.
